Nummer,Jahr,Technik,Format,Ausrichtung,Darstellungsformen,Gegenständlich/Ungegenständlich,Motiv,Serie,Helligkeit,Farbigkeit,Paraphrasen,Bildsprache,Titel,Standort,Zus'arbeit,Bildqualität,Bemerkungen,Nummer
1,a2012,G     ,21x30,breit, ,U,   ,Fst,H2,cf,ParPC,fis,Früchtestillleben (nach Paul Cézanne),iBdK,,,,1
2,a2015,T     ,21x30,breit, ,U,   ,Fst,H1,bw,ParPC,fis,Früchtestillleben (nach Paul Cézanne),iBdK,,,,2
3,a2014,G     ,21x30,breit, ,U,   ,Fst,H1,gr,ParPC,fis,Früchtestillleben (nach Paul Cézanne),iBdK,,,,3
4,a2011,B  G   ,21x30,breit, ,U,   ,Fst,H1,v,ParPC,fis,Früchtestillleben (nach Paul Cézanne),iBdK,,,,4
5,a2012,Pk     ,21x30,breit, ,UoG,F St  ,Fst,H2,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,5
6,a2011,zT Dd Ac   ,21x30,breit, ,U,BiB   ,Fst,H1,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,6
7,a2014,zT Ks B   ,21x30,breit, ,UoG,Sch   ,Fst,H1,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,7
8,a2011,Mt Dd B Fa Fs ,21x30,breit, ,U,Sch   ,Fst,H2,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,8
9,a2011,Mt Dd G Kh  ,21x30,breit, ,U,   ,Fst,H2,b,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,9
10,a2011,Mt Dd Aq T  ,21x30,breit, ,UoG,F St  ,Fst,H1,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,10
11,a2011,zT Dd B   ,21x30,breit, ,U,Sch   ,Fst,H1,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,11
12,a2011,zT Dd G   ,21x30,breit, ,U,BiB   ,Fst,H2,gr,"ParPC, Par9a",,Früchtestillleben (nach Paul Cézanne),iBdK,,,,12
13,a2011,Mt Dd B G  ,21x30,breit, ,U,BiB   ,Fst,H1,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,13
14,a2011,zT Dd B   ,21x30,breit,Lwi ,U,   ,Fst,H2,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,14
15,a2011,Mt Dd B T Fs ,21x30,breit,Lwi ,UnG,   ,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,15
16,a2011,zT Dd B   ,21x30,breit, ,U,Sch   ,Fst,H1,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,16
17,a2012,Mt Dd B Fs  ,21x30,breit,sM Lst,UnG,O   ,Fst,H3,bw,ParPC,was,Früchtestillleben (nach Paul Cézanne),iBdK,,,,17
18,a2011,zT Dd B   ,21x30,breit,Ul ,Gs,F St Sch ,Fst,H1,y,ParPC,was,Früchtestillleben (nach Paul Cézanne),iBdK,,,,18
