Code,Mode,Type,Column,Title,Link,Info,Count
Ac,Form,Technik,Technik,Acryl,,,12
Aq,Form,Technik,Technik,Aquarell,,,14
B,Form,Technik,Technik,Bleistift,,,1151
C,Form,Technik,Technik,Collage,,,101
Cb,Form,Technik,Technik,Collagebuch,,,0
Fa,Form,Technik,Technik,Farbstift,,,12
Fs,Form,Technik,Technik,Filzstift,,,15
G,Form,Technik,Technik,Gouache,,,489
K,Form,Technik,Technik,Kohle,,,26
Ks,Form,Technik,Technik,Kugelschreiber,,,17
Opl,Form,Technik,Technik,Ölpastell,,,20
OP,Form,Technik,Technik,Ölfarbe auf Pavatex,,,542
OL,Form,Technik,Technik,Ölfarbe auf Leinwand,,,69
OPa,Form,Technik,Technik,Ölfarbe auf Papier,,,31
T,Form,Technik,Technik,Tusche,,,270
Dd,Form,Drucktechnik,Technik,Digitaldruck,,,70
Hs,Form,Drucktechnik,Technik,Holzschnitt,,,10
Ls,Form,Drucktechnik,Technik,Linolschnitt,,,56
Lg,Form,Drucktechnik,Technik,Lithografie,,,16
Od,Form,Drucktechnik,Technik,Offsetdruck,,,8
Dp,Form,Drucktechnik,Technik,Dispersion,,,358
R,Form,Drucktechnik,Technik,Radierung,,,358
S,Form,Drucktechnik,Technik,Siebdruck,,,4
zT,Form,mehrere Techniken,Technik,zwei Techniken,,,2042
Mt,Form,mehrere Techniken,Technik,Mischtechnik (3 Techniken und mehr),,,1261
H1,Form,Helligkeit,Helligkeit,hell,,,668
H2,Form,Helligkeit,Helligkeit,eher hell,,,2409
H3,Form,Helligkeit,Helligkeit,mittlere Helligkeit,,,2016
H4,Form,Helligkeit,Helligkeit,eher dunkel,,,1328
H5,Form,Helligkeit,Helligkeit,dunkel,,,180
bw,Form,Farbigkeit nach Dominanz,Farbigkeit,schwarzweiss,,,953
gr,Form,Farbigkeit nach Dominanz,Farbigkeit,grau,,,3671
cf,Form,Farbigkeit nach Dominanz,Farbigkeit,vielfarbig,,,1083
y,Form,Farbigkeit nach Dominanz,Farbigkeit,gelb,,,62
g,Form,Farbigkeit nach Dominanz,Farbigkeit,grün,,,152
c,Form,Farbigkeit nach Dominanz,Farbigkeit,blau,,,195
v,Form,Farbigkeit nach Dominanz,Farbigkeit,violett,,,125
m,Form,Farbigkeit nach Dominanz,Farbigkeit,rot,,,77
b,Form,Farbigkeit nach Dominanz,Farbigkeit,braun,,,280
klein,Form,Format,Format,klein,,((grössere Zahl max. 30)),0
mittel,Form,Format,Format,mittel,,((grössere Zahl 31 - 90)),0
gross,Form,Format,Format,gross,,((grössere Zahl 91 und mehr)),0
breit,Form,Ausrichtung,Ausrichtung,breit,,,5887
