Nummer,Jahr,Technik,Technik I,Technik II,Technik III,Technik IV,Format,Grösse,Ausrichtung,Darstellungsform,Darstellungsform I,Gegenständlich/Ungegenständlich,Motiv I,Motiv II,Motiv III,Motiv IV,Serie,Helligkeit,Farbigkeit,Paraphrasen,Bildsprache,Titel,Standort,Status,Zus'arbeit,Bildqualität,Bemerkungen,Nummer,path,thumb,Techniken,Motiven,Darstellungsformen
0001,2012,G,,,,,21x30,klein,breit,,,U,,,,,Fst,H2,cf,ParPC,fis,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0001,images/WV_ab 0001/0001_2012_G_A4_F_PPC_fis_H2.jpg,images/WV_ab 0001/thumb/0001_2012_G_A4_F_PPC_fis_H2.jpg,G    ,   , 
0002,2015,T,,,,,21x30,klein,breit,,,U,,,,,Fst,H1,gr ,ParPC,fis,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0002,images/WV_ab 0001/0002_2015_T_A4_F_PPC_fis_H1.jpg,images/WV_ab 0001/thumb/0002_2015_T_A4_F_PPC_fis_H1.jpg,T    ,   , 
0003,2014,G,,,,,21x30,klein,breit,,,U,,,,,Fst,H1,gr,ParPC,fis,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0003,images/WV_ab 0001/0003_2014_G_A4_F_PPC_fis_H1.jpg,images/WV_ab 0001/thumb/0003_2014_G_A4_F_PPC_fis_H1.jpg,G    ,   , 
0004,2011,B,,G,,,21x30,klein,breit,,,U,,,,,Fst,H2,v,ParPC,fis,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0004,images/WV_ab 0001/0004_2011_B_G_A4_F_PPC_fis_H1.jpg,images/WV_ab 0001/thumb/0004_2011_B_G_A4_F_PPC_fis_H1.jpg,B  G  ,   , 
0005,2012,Pk,,,,,21x30,klein,breit,,,UoG,F,St,,,Fst,H2,cf,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0005,images/WV_ab 0001/0005_2012_Pk_A4_F_PPC_fis_H2.jpg,images/WV_ab 0001/thumb/0005_2012_Pk_A4_F_PPC_fis_H2.jpg,Pk    ,F St  , 
0006,2011,zT,Dd,Ac,,,21x30,klein,breit,,,U,BiB,,,,Fst,H1,bw,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0006,images/WV_ab 0001/0006_2011_Dd_Ac_A4_F_PPC_H1.jpg,images/WV_ab 0001/thumb/0006_2011_Dd_Ac_A4_F_PPC_H1.jpg,zT Dd Ac  ,BiB   , 
0007,2014,zT,Ks,B,,,21x30,klein,breit,,,UoG,Sch,,,,Fst,H1,gr,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0007,images/WV_ab 0001/0007_2014_Ks_B_A4_F_PPC_H1.jpg,images/WV_ab 0001/thumb/0007_2014_Ks_B_A4_F_PPC_H1.jpg,zT Ks B  ,Sch   , 
0008,2011,Mt,Dd,B,Fa,Fs,21x30,klein,breit,,,U,Sch,,,,Fst,H2,bw,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0008,images/WV_ab 0001/0008_2011_M_A4_F_PPC_H2.jpg,images/WV_ab 0001/thumb/0008_2011_M_A4_F_PPC_H2.jpg,Mt Dd B Fa Fs,Sch   , 
0009,2011,Mt,Dd,G,Kh,,21x30,klein,breit,,,U,,,,,Fst,H2,b,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0009,images/WV_ab 0001/0009_2011_Dd_Kh_G_A4_F_PPC_H2.jpg,images/WV_ab 0001/thumb/0009_2011_Dd_Kh_G_A4_F_PPC_H2.jpg,Mt Dd G Kh ,   , 
0010,2011,Mt,Dd,Aq,T,,21x30,klein,breit,,,UoG,F,St,,,Fst,H1,gr,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0010,images/WV_ab 0001/0010_2011_Aq_Dd_B_A4_F_PPC_H1.jpg,images/WV_ab 0001/thumb/0010_2011_Aq_Dd_B_A4_F_PPC_H1.jpg,Mt Dd Aq T ,F St  , 
