Nummer,Jahr,Technik,Technik I,Technik II,Technik III,Technik IV,Format,Ausrichtung,Darstellungsformen,Darstellungsformen,Gegenständlich/Ungegenständlich,Motiv,Motiv,Motiv,Motiv,Serie,Helligkeit,Farbigkeit,Paraphrasen,Bildsprache,Titel,Standort,Zus'arbeit,Bildqualität,Bemerkungen,Nummer
0001,a2012,G,,,,,21x30,breit,,,U,,,,,Fst,H2,cf,ParPC,fis,Früchtestillleben (nach Paul Cézanne),,,,,0001
0002,a2015,T,,,,,21x30,breit,,,U,,,,,Fst,H1,bw,ParPC,fis,Früchtestillleben (nach Paul Cézanne),,,,,0002
0003,a2014,G,,,,,21x30,breit,,,U,,,,,Fst,H1,gr,ParPC,fis,Früchtestillleben (nach Paul Cézanne),,,,,0003
0004,a2011,B,,G,,,21x30,breit,,,U,,,,,Fst,H1,v,ParPC,fis,Früchtestillleben (nach Paul Cézanne),,,,,0004
0005,a2012,Pk,,,,,21x30,breit,,,UoG,F,St,,,Fst,H2,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0005
0006,a2011,zT,Dd,Ac,,,21x30,breit,,,U,BiB,,,,Fst,H1,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0006
0007,a2014,zT,Ks,B,,,21x30,breit,,,UoG,Sch,,,,Fst,H1,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0007
0008,a2011,Mt,Dd,B,Fa,Fs,21x30,breit,,,U,Sch,,,,Fst,H2,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0008
0009,a2011,Mt,Dd,G,Kh,,21x30,breit,,,U,,,,,Fst,H2,b,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0009
0010,a2011,Mt,Dd,Aq,T,,21x30,breit,,,UoG,F,St,,,Fst,H1,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0010
0011,a2011,zT,Dd,B,,,21x30,breit,,,U,Sch,,,,Fst,H1,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0011
0012,a2011,zT,Dd,G,,,21x30,breit,,,U,BiB,,,,Fst,H2,gr,"ParPC, Par9a",,Früchtestillleben (nach Paul Cézanne),,,,,0012
0013,a2011,Mt,Dd,B,G,,21x30,breit,,,U,BiB,,,,Fst,H1,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0013
0014,a2011,zT,Dd,B,,,21x30,breit,Lwi,,U,,,,,Fst,H2,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0014
0015,a2011,Mt,Dd,B,T,Fs,21x30,breit,Lwi,,UnG,,,,,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0015
0016,a2011,zT,Dd,B,,,21x30,breit,,,U,Sch,,,,Fst,H1,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0016
0017,a2012,Mt,Dd,B,Fs,,21x30,breit,sM,Lst,UnG,O,,,,Fst,H3,bw,ParPC,was,Früchtestillleben (nach Paul Cézanne),,,,,0017
0018,a2011,zT,Dd,B,,,21x30,breit,Ul,,Gs,F,St,Sch,,Fst,H1,y,ParPC,was,Früchtestillleben (nach Paul Cézanne),,,,,0018
0019,a2011,Mt,Dd,B,T,Kh,21x30,breit,Lwi,Ul,U,,,,,Fst,H2,gr,ParPC,was,Früchtestillleben (nach Paul Cézanne),,,,,0019
0020,a2011,zT,Dd,T,,,21x30,breit,Lst,Ul,U,Sch,,,,Fst,H1,gr,ParPC,was,Früchtestillleben (nach Paul Cézanne),,,,,0020
0021,a2011,G,,,,,21x30,breit,,,U,,,,,Fst,H1,b,ParPC,fis,Früchtestillleben (nach Paul Cézanne),,,,,0021
0022,a2016,zT,T,Ac,,,21x30,breit,,,U,,,,,Fst,H1,bw,ParPC,fis,Früchtestillleben (nach Paul Cézanne),,,,,0022
0023,a2011,G,,,,,21x30,breit,,,U,,,,,Fst,H2,cf,ParPC,fis,Früchtestillleben (nach Paul Cézanne),,,,,0023
0024,a2016,Mt,Pk,G,Fa,,21x30,breit,Lst,,UoG,F,St,,,Fst,H2,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0024
0025,a2011,B,,,,,21x30,breit,,,U,,,,,Fst,H1,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0025
0026,a2011,Mt,Dd,B,G,Fs,21x30,breit,,,U,,,,,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0026
0027,a2012,B,,,,,21x30,breit,sM,Lwi,U,,,,,Fst,H2,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0027
0028,a2016,G,,,,,21x30,breit,,,U,,,,,Fst,H2,v,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0028
0029,a2011,B,,G,,,21x30,breit,,,U,,,,,Fst,H1,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0029
0030,a2012,Mt,Dd,B,G,Fs,21x30,breit,,,U,,,,,Fst,H3,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0030
0031,a2011,B,B,G,,,21x30,breit,Lwi,,U,,,,,Fst,H1,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0031
0032,a2011,B,,,,,21x30,breit,Lst,,U,,,,,Fst,H1,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0032
0033,a2011,Mt,Dd,B,Fs,G,21x30,breit,Gi,,Gs,F,St,,,Fst,H3,gr,ParPC,,"Früchtestillleben (nach Paul Cézanne), Ks",,,,,0033
0034,a2012,zT,Dd,T,,,21x30,breit,Lst,,U,BiB,,,,Fst,H1,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0034
0035,a2011,B,,,,,21x30,breit,Lwi,,U,,,,,Fst,H1,y,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0035
0036,a2011,zT,Ac,G,,,21x30,breit,,,U,,,,,Fst,H2,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0036
0037,a2011,zT,Dd,B,,,21x30,breit,,,U,Sch,,,,Fst,H2,bw,ParPC,was,Früchtestillleben (nach Paul Cézanne),,,,,0037
0038,a2011,zT,Od,B,,,21x30,breit,,,Gs,F,Sch,BiB,St,Fst,H1,cf,ParPC,was,Früchtestillleben (nach Paul Cézanne),,,,,0038
0039,a2011,Mt,Dd,B,Fs,Fa,21x30,breit,,,U,,,,,Fst,H1,gr,ParPC,was,"Früchtestillleben (nach Paul Cézanne), G, T",,,,,0039
0040,a2011,zT,Dd,G,,,21x30,breit,,,U,,,,,Fst,H2,b,ParPC,was,Früchtestillleben (nach Paul Cézanne),,,,,0040
0041,a2016,zT,T,G,,,21x30,breit,,,U,,,,,Fst,H2,v,ParPC,fis,Früchtestillleben (nach Paul Cézanne),,,,,0041
0042,a2012,G,,,,,21x30,breit,,,UoG,F,St,,,Fst,H1,b,ParPC,fis,Früchtestillleben (nach Paul Cézanne),,,,,0042
0043,a2012,zT,B,Fa,,,21x30,breit,,,UoG,F,St,,,Fst,H1,bw,ParPC,fis,Früchtestillleben (nach Paul Cézanne),,,,,0043
0044,a2012,zT,Opll,G,,,21x30,breit,,,U,,,,,Fst,H2,cf,ParPC,fis,Früchtestillleben (nach Paul Cézanne),,,,,0044
0045,a2011,zT,Aq,B,,,21x30,breit,Gi,,UoG,F,St,,,Fst,H2,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0045
0046,a2014,B,,,,,21x30,breit,Lwi,,U,,,,,Fst,H1,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0046
0047,a2015,zT,T,B,,,21x30,breit,,,U,,,,,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0047
